station,date,temp,dew_point,wind_speed,precipitation
1003099999,2019-01-01,3.9,-7.6,5.9,0.0
1003099999,2019-01-02,11.6,2.1,6.8,0.0
1003099999,2019-01-03,27.8,22.5,17.8,0.0
1003099999,2019-01-04,23.6,18.5,4.1,0.0
1003099999,2019-01-05,27.9,24.5,8.9,0.03
1003099999,2019-01-06,29.0,25.1,29.7,0.02
1003099999,2019-01-07,25.6,21.3,30.0,0.0
1003099999,2019-01-08,24.9,18.8,20.4,0.03
1003099999,2019-01-09,22.4,17.0,12.0,0.05
1003099999,2019-01-10,25.6,22.3,37.3,0.0
1003099999,2019-01-11,14.5,6.0,25.7,0.23
1003099999,2019-01-12,12.8,2.9,16.3,0.0
1003099999,2019-01-13,16.0,6.8,16.9,1.57
1003099999,2019-01-14,15.0,4.3,14.0,0.0
1003099999,2019-01-15,9.0,-0.2,7.8,0.0
1003099999,2019-01-16,7.7,-3.4,7.2,0.0
1003099999,2019-01-17,8.9,-2.4,12.1,0.0
1003099999,2019-01-18,7.1,-4.2,8.6,0.0
1003099999,2019-01-19,2.0,-7.2,7.9,0.0
1003099999,2019-01-20,2.4,-5.8,9.3,0.0
1003099999,2019-01-21,2.5,-4.0,13.1,0.0
1003099999,2019-01-22,6.7,-2.2,14.3,0.0
1003099999,2019-01-23,15.0,8.0,11.8,0.0
1003099999,2019-01-24,12.4,6.0,4.9,0.0
1003099999,2019-01-25,16.9,12.1,8.6,0.0
1003099999,2019-01-26,27.1,21.7,8.9,0.0
1003099999,2019-01-27,26.6,20.0,13.0,0.0
1003099999,2019-01-28,24.4,16.4,18.1,0.0
1003099999,2019-01-29,27.2,23.3,26.2,0.01
1003099999,2019-01-30,29.5,26.3,17.2,0.03
1003099999,2019-01-31,30.9,26.9,12.9,0.0
1003099999,2019-02-01,29.5,24.5,11.8,0.0
1003099999,2019-02-02,28.8,23.4,12.5,0.0
1003099999,2019-02-03,29.3,23.8,9.2,0.0
1003099999,2019-02-04,29.5,23.4,11.6,0.0
1003099999,2019-02-05,26.1,19.9,9.3,0.0
1003099999,2019-02-06,25.1,17.5,14.8,0.0
1003099999,2019-02-07,24.1,17.2,14.7,0.0
1003099999,2019-02-08,20.1,10.0,15.3,0.0
1003099999,2019-02-09,17.6,9.3,12.6,0.0
1003099999,2019-02-10,18.6,9.2,15.1,0.0
1003099999,2019-02-11,21.9,15.5,14.5,0.0
1003099999,2019-02-12,16.3,11.2,14.6,99.99
1003099999,2019-02-13,5.5,-0.3,7.3,0.0
1003099999,2019-02-14,9.6,2.6,7.6,0.0
1003099999,2019-02-15,13.0,5.4,9.8,0.0
1003099999,2019-02-16,6.0,-1.1,11.8,0.0
1003099999,2019-02-17,-4.7,-17.4,6.0,0.0
1003099999,2019-02-18,-5.7,-18.5,8.3,0.0
1003099999,2019-02-19,-3.7,-13.7,6.6,0.0
1003099999,2019-02-20,9.8,2.9,9.1,0.0
1003099999,2019-02-21,24.9,19.5,13.8,0.04
1003099999,2019-02-22,32.7,30.9,18.2,0.01
1003099999,2019-02-23,25.7,21.7,12.9,0.47
1003099999,2019-02-24,18.7,12.9,17.5,0.0
1003099999,2019-02-25,2.6,-3.8,15.3,0.0
1003099999,2019-02-26,8.9,3.1,14.8,0.0
1003099999,2019-02-27,9.7,3.6,15.7,0.0
1003099999,2019-02-28,6.1,-2.1,17.2,0.0
1003099999,2019-03-01,2.7,-5.6,10.1,0.0
1003099999,2019-03-02,7.4,-0.5,6.6,0.0
1003099999,2019-03-03,0.2,-9.2,12.7,0.0
1003099999,2019-03-04,-2.0,-14.4,6.9,0.0
1003099999,2019-03-05,0.0,-10.1,9.2,0.0
1003099999,2019-03-06,9.4,-0.9,10.6,0.0
1003099999,2019-03-07,8.4,-7.2,7.3,0.0
1003099999,2019-03-08,4.3,-7.0,10.3,0.0
1003099999,2019-03-09,7.2,0.5,17.1,0.0
1003099999,2019-03-10,7.2,0.4,17.7,0.0
1003099999,2019-03-11,5.5,-0.1,18.4,0.0
1003099999,2019-03-12,8.5,2.7,22.2,99.99
1003099999,2019-03-13,10.9,4.3,17.4,0.0
1003099999,2019-03-14,7.5,0.1,24.0,0.0
1003099999,2019-03-15,7.2,-0.9,24.4,0.0
1003099999,2019-03-16,3.2,-4.5,22.0,0.0
1003099999,2019-03-17,5.7,-0.1,10.4,0.0
1003099999,2019-03-18,24.5,19.1,19.4,0.0
1003099999,2019-03-19,22.4,15.8,13.6,0.0
1003099999,2019-03-20,31.9,29.2,14.0,0.0
1003099999,2019-03-21,26.6,22.0,10.5,0.0
1003099999,2019-03-22,26.3,22.5,10.6,0.04
1003099999,2019-03-23,25.6,20.0,10.1,0.0
1003099999,2019-03-24,20.8,8.2,11.3,99.99
1003099999,2019-03-25,17.5,7.5,6.5,0.0
1003099999,2019-03-26,15.0,9.5,9.9,99.99
1003099999,2019-03-27,22.5,17.7,24.0,0.0
1003099999,2019-03-28,26.0,21.6,20.3,0.0
1003099999,2019-03-29,29.9,22.3,14.4,0.01
1003099999,2019-03-30,22.6,12.9,14.4,0.0
1003099999,2019-03-31,14.3,4.5,9.6,0.0
1003099999,2019-04-01,14.6,5.3,7.3,0.0
1003099999,2019-04-02,16.0,7.2,11.1,0.0
1003099999,2019-04-03,20.1,9.2,5.0,0.0
1003099999,2019-04-04,23.4,18.2,7.6,0.0
1003099999,2019-04-05,25.9,20.1,18.0,0.05
1003099999,2019-04-06,21.5,11.8,9.0,0.0
1003099999,2019-04-07,15.4,7.2,6.5,0.0
1003099999,2019-04-08,13.8,8.5,7.0,0.0
1003099999,2019-04-09,27.2,22.4,9.7,0.0
1003099999,2019-04-10,29.8,27.7,7.9,0.0
1003099999,2019-04-11,23.0,19.4,14.8,0.0
1003099999,2019-04-12,26.2,24.1,8.2,0.0
1003099999,2019-04-13,29.9,27.0,8.4,0.0
1003099999,2019-04-14,32.6,29.9,15.9,0.0
1003099999,2019-04-15,31.5,29.1,10.8,0.05
1003099999,2019-04-16,34.6,32.6,13.6,0.0
1003099999,2019-04-17,34.6,32.4,13.5,0.29
1003099999,2019-04-18,34.6,33.6,10.6,0.0
1003099999,2019-04-19,34.9,34.1,9.5,0.2
1003099999,2019-04-20,33.1,30.7,14.5,0.77
1003099999,2019-04-21,21.9,15.1,25.4,0.05
1003099999,2019-04-22,17.8,9.3,17.7,0.0
1003099999,2019-04-23,21.7,14.7,7.9,0.0
1003099999,2019-04-24,27.8,22.5,4.9,0.0
1003099999,2019-04-25,32.8,27.2,5.2,0.0
1003099999,2019-04-26,30.2,25.4,11.7,0.0
1003099999,2019-04-27,29.4,26.3,6.8,0.0
1003099999,2019-04-28,32.7,30.3,2.8,0.0
1003099999,2019-04-29,31.3,29.0,9.5,2.36
1003099999,2019-04-30,22.8,14.1,11.6,0.05
1003099999,2019-05-01,17.4,7.8,14.8,0.0
1003099999,2019-05-02,21.8,7.9,10.8,0.0
1003099999,2019-05-03,24.9,16.8,13.0,0.0
1003099999,2019-05-04,20.7,9.9,17.1,1.97
1003099999,2019-05-05,21.8,11.7,9.0,0.0
1003099999,2019-05-06,24.4,16.5,8.4,0.0
1003099999,2019-05-07,23.9,16.7,10.6,0.0
1003099999,2019-05-08,21.3,12.0,18.1,1.18
1003099999,2019-05-09,22.6,12.4,13.9,0.0
1003099999,2019-05-10,24.1,16.3,12.1,0.0
1003099999,2019-05-11,26.5,20.1,26.0,0.0
1003099999,2019-05-12,31.4,25.0,25.2,0.0
1003099999,2019-05-13,32.6,25.3,21.6,0.0
