"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2015-01-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  34.2"," 4","  33.8"," 4","9999.9"," 0","999.9"," 0","  6.2"," 4","  5.2"," 4","  8.0","999.9","  35.6","*","  33.8","*","99.99"," ","999.9","010000"
"01001499999","2015-01-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.2","13","  38.0","13","9999.9"," 0","999.9"," 0","  5.0","13"," 10.0","13"," 14.0","999.9","  42.8","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2015-01-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.2"," 9","  41.6"," 9","9999.9"," 0","999.9"," 0","  5.5"," 9"," 18.3"," 9"," 21.0"," 34.0","  44.6","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2015-01-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.0","13","  37.8","13","9999.9"," 0","999.9"," 0","  6.1","13"," 14.0","13"," 21.0"," 35.0","  42.8","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2015-01-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.3","13","  37.3","13","9999.9"," 0","999.9"," 0","  6.2","13","  9.3","13"," 17.1"," 35.0","  42.8","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-01-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.5","11","  32.7","11","9999.9"," 0","999.9"," 0","  6.2","11"," 12.1","11"," 22.9"," 33.0","  41.0","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2015-01-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.9"," 7","  32.8"," 7","9999.9"," 0","999.9"," 0","  6.2"," 7","  8.1"," 7"," 20.0"," 36.9","  41.0","*","  37.4","*","99.99"," ","999.9","011000"
"01001499999","2015-01-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.5","13","  40.3","13","9999.9"," 0","999.9"," 0","  6.0","13"," 17.7","13"," 25.1"," 58.1","  46.4","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2015-01-13","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.6","10","  33.3","10","9999.9"," 0","999.9"," 0","  6.2","10"," 13.8","10"," 25.3"," 48.6","  41.0","*","  37.4","*","99.99"," ","999.9","011010"
"01001499999","2015-01-14","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.2","12","  31.1","12","9999.9"," 0","999.9"," 0","  6.2","12"," 12.3","12"," 15.9"," 28.0","  41.0","*","  37.4","*","99.99"," ","999.9","011000"
